,objectID,title,department,artistDisplayName,artistNationality,artistGender,objectDate,timeperiod
22,839236.0,Carved fan with plum-blossom painting,Asian Art,Jin Xiya,Chinese,,carving dated 1924,modern
23,490217.0,"Number 28, 1950",Modern and Contemporary Art,Jackson Pollock,American,,1950,modern
24,436803.0,The Adoration of the Magi,European Paintings,Justus of Ghent,Netherlandish,,ca. 1475,not modern
25,53241.0,Willows and Bridge,Asian Art,,,,early 17th century,not modern
26,747674.0,New York #2,Modern and Contemporary Art,Hedda Sterne,American,Female,1953,modern
27,53408.0,White Plum Blossoms and Moon,Asian Art,Itō Jakuchū,Japanese,,1755,not modern
28,36277.0,Branch of blossoming plum,Asian Art,Xu Zonghao,Chinese,,dated 1945,modern
29,435707.0,Roadside Halt,European Paintings,Richard Parkes Bonington,British,,1826,not modern
30,459023.0,Madonna and Child,Robert Lehman Collection,Giovanni Bellini,Italian,,ca. 1470,not modern
31,,,,,,,,not modern
32,435990.0,A Woman Gathering Faggots at Ville-d'Avray,European Paintings,Camille Corot,French,,ca. 1871–74,modern
33,11907.0,A Rocky Coast,The American Wing,William Trost Richards,American,,1877,modern
34,11897.0,Lake Squam from Red Hill,The American Wing,William Trost Richards,American,,1874,modern
35,848283.0,Console,Modern and Contemporary Art,Dana Schutz,American,Female,2003,modern
36,11375.0,"The Great Statue of Amida Buddha at Kamakura, Known as the Daibutsu, from the Priest's Garden",The American Wing,John La Farge,American,,1887,modern
37,256186.0,Wall painting,Greek and Roman Art,,,,mid-4th century B.C.,not modern
38,459113.0,Versailles,Robert Lehman Collection,Auguste Renoir,French,,1900–1905,modern
39,487717.0,The Bowery,Modern and Contemporary Art,Reginald Marsh,American,,1930,modern
40,547951.0,Portrait of the Boy Eutyches,Egyptian Art,,,,A.D. 100–150,not modern
41,11979.0,Moonlight Marine,The American Wing,Albert Pinkham Ryder,American,,1870–90,modern
42,489970.0,Prelude to a Civilization,Modern and Contemporary Art,Victor Brauner,Romanian,,1954,modern
43,437497.0,The Flagellation; (reverse) The Madonna of Mercy,European Paintings,Girolamo Romanino,Italian,,ca. 1540,not modern
44,748346.0,Violin and Engraving,Modern and Contemporary Art,Juan Gris,Spanish,,1913,modern
45,466070.0,"Manuscript Leaf with the Crucifixion, from a Missal",Medieval Art,,,,ca. 1270–80,not modern
46,436840.0,"Self-Portrait with Two Pupils, Marie Gabrielle Capet (1761–1818) and Marie Marguerite Carreaux de Rosemond (died 1788)",European Paintings,Adélaïde Labille-Guiard,French,Female,1785,not modern
47,449458.0,Wall Painting with Female Figure,Islamic Art,,,,9th–10th century,not modern
48,437854.0,Whalers,European Paintings,Joseph Mallord William Turner,British,,ca. 1845,not modern
49,490204.0,Untitled,Modern and Contemporary Art,Morris Louis,American,,1960,modern
50,282883.0,Border #8,Photographs,Michal Rovner,Israeli,Female,1997–98,modern
51,436792.0,The Crucifixion with Saints and a Donor,European Paintings,Joos van Cleve,Netherlandish,,ca. 1520,not modern
52,436035.0,Christ Blessing the Children,European Paintings,Lucas Cranach the Younger and Workshop,German,,ca. 1545–50,not modern
53,435809.0,The Harvesters,European Paintings,Pieter Bruegel the Elder,Netherlandish,,1565,not modern
54,439844.0,Heroic Landscape with Rainbow,European Paintings,Joseph Anton Koch,Austrian,,1824,not modern
55,547859.0,Portrait of an elderly lady with a gold wreath,Egyptian Art,,,,A.D. 100–125,not modern
56,441234.0,Medea Rejuvenating Aeson,European Paintings,Corrado Giaquinto,Italian,,ca. 1760,not modern
57,437536.0,Wolf and Fox Hunt,European Paintings,Peter Paul Rubens,Flemish,,ca. 1616,not modern
58,45756.0,Ink bamboo,Asian Art,Tang Yin,Chinese,,early 16th century,not modern
59,78188.0,Ushnishavijaya Enthroned in the Womb of a Stupa,Asian Art,,,,dated 1510–19,modern
60,436039.0,The Martyrdom of Saint Barbara,European Paintings,Lucas Cranach the Elder,German,,ca. 1510,not modern
61,41191.0,Wintry plum,Asian Art,Ni Jing,Chinese,,14th century,not modern
62,44573.0,Bamboo in a spring thunderstorm,Asian Art,Tang Yin,Chinese,,17th century,not modern
63,551159.0,Elderly Man Flanked by Egyptian Gods,Egyptian Art,,,,ca. A.D. 250,not modern
64,440464.0,"Pope Benedict XIV (Prospero Lambertini, 1675–1758)",European Paintings,Pierre Hubert Subleyras,French,,1746,not modern
65,36321.0,Bamboo,Asian Art,Wu Huayuan,,,dated 1942,modern
66,547856.0,"Portrait of a thin-faced, bearded man",Egyptian Art,,,,A.D. 160–180,not modern
67,37395.0,Miscellaneous Studies,Asian Art,Chen Hongshou,Chinese,,one leaf dated 1619,not modern
68,435747.0,"Jupiter, in the Guise of Diana, and Callisto",European Paintings,François Boucher,French,,1763,not modern
69,57323.0,Gazing at the Moon,Asian Art,Miki Suizan,Japanese,,20th century,modern
70,436106.0,"Antoine Laurent Lavoisier (1743–1794) and Marie Anne Lavoisier (Marie Anne Pierrette Paulze, 1758–1836)",European Paintings,Jacques Louis David,French,,1788,not modern
71,678013.0,Tiger in Repose,European Paintings,Antoine-Louis Barye,French,,ca. 1850–65,not modern
72,57204.0,Cat Tails and Moon,Asian Art,Shibata Zeshin,Japanese,,,not modern
73,50486.0,Bamboo in the Wind,Asian Art,Yi Jeong,Korean,,early 17th century,not modern
74,492731.0,Small Train Station at Night,Modern and Contemporary Art,Paul Delvaux,Belgian,,1959,modern
75,486723.0,New Moon,Modern and Contemporary Art,Mark Podwal,American,,1996,modern
76,437639.0,Christ before Pilate; The Resurrection,European Paintings,Ludwig Schongauer,German,,,not modern
77,438688.0,Saint Francis,European Paintings,Federico Barocci,Italian,,ca. 1600–1604,not modern
78,436658.0,Hermann von Wedigh III (died 1560),European Paintings,Hans Holbein the Younger,German,,1532,not modern
79,853341.0,Goddess of Compassion,Asian Art,Munakata Shikō 棟方志功,Japanese,,1960s,modern
80,437490.0,The Annunciation,European Paintings,Hans Memling,Netherlandish,,ca. 1465–70,not modern
81,438954.0,Mother and Child by the Sea,European Paintings,Johan Christian Dahl,Norwegian,,1830,not modern
82,437054.0,Virgin and Child with Saints Catherine of Alexandria and Barbara,European Paintings,Hans Memling,Netherlandish,,early 1480s,not modern
83,439344.0,Two Men before a Waterfall at Sunset,European Paintings,Johan Christian Dahl,Norwegian,,1823,not modern
84,441379.0,The North Cape by Moonlight,European Paintings,Peder Balke,Norwegian,,1848,not modern
85,485416.0,Street Story Quilt,Modern and Contemporary Art,Faith Ringgold,American,Female,1985,modern
86,437507.0,The Dream of Aeneas,European Paintings,Salvator Rosa,Italian,,1660–65,not modern
87,53219.0,Cicada on a Grapevine,Asian Art,Bokurin Guan,Japanese,,late 14th century,not modern
88,441769.0,"Virgil's Tomb by Moonlight, with Silius Italicus Declaiming",European Paintings,Joseph Wright (Wright of Derby),British,,1779,not modern
89,438850.0,The Penitent Magdalen,European Paintings,Corrado Giaquinto,Italian,,ca. 1750,not modern
90,45791.0,Beauty Looking at the Moon,Asian Art,Katsukawa Shunchō,Japanese,,18th century,not modern
91,459027.0,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Robert Lehman Collection,Jacometto (Jacometto Veneziano),Italian,,ca. 1485–95,not modern
92,459028.0,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Robert Lehman Collection,Jacometto (Jacometto Veneziano),Italian,,ca. 1485–95,not modern
93,54631.0,Crow and the Moon,Asian Art,Kawanabe Kyōsai 河鍋暁斎,Japanese,,ca. 1887,modern
94,435713.0,The Disillusioned Medea,European Paintings,Paulus Bor,Dutch,,ca. 1640,not modern
95,17053.0,Boys in a Dory,The American Wing,Winslow Homer,American,,1873,modern
96,853796.0,Fisherman viewing the moon,Asian Art,Ye Guang,Chinese,,ca. 1600,not modern
97,679844.0,Fish Market,European Paintings,Joachim Beuckelaer,Netherlandish,,1568,not modern
98,197469.0,Saint Agnes (one of a pair),European Sculpture and Decorative Arts,Diego de Tiedra,Spanish,,mid-16th century,not modern
99,53439.0,Women on a Bridge Tossing Fans into a River,Asian Art,,,,early 17th century,not modern
100,459055.0,The Annunciation,Robert Lehman Collection,Hans Memling,Netherlandish,,1480–89,not modern
101,486540.0,The Moon Has Risen,Modern and Contemporary Art,Anselm Kiefer,German,,1971,modern
102,439343.0,Copenhagen Harbor by Moonlight,European Paintings,Johan Christian Dahl,Norwegian,,1846,not modern
103,74837.0,"Shiva Gangadhara, ""Bearer of the Ganga""",Asian Art,Y. G. Srimati,Indian,Female,dated 1945,modern
104,437423.0,The Immaculate Conception,European Paintings,Guido Reni,Italian,,1627,not modern
105,441227.0,The Holy Family with the Infant Saint John the Baptist,European Paintings,Perino del Vaga (Pietro Buonaccorsi),Italian,,ca. 1524–26,not modern
106,49806.0,Looking at the Moon,Asian Art,Lü Fengzi,Chinese,,dated 1924,modern
107,36432.0,Plum blossoms,Asian Art,Jin Nong,Chinese,,dated 1757,not modern
108,77179.0,Hotei Pointing at the Moon,Asian Art,Fūgai Ekun,Japanese,,1650,not modern
109,36203.0,Cultivating Longevity,Asian Art,Chen Hengke,Chinese,,likely 1923,modern
110,435737.0,Imaginary Landscape with the Palatine Hill from Campo Vaccino,European Paintings,François Boucher,French,,1734,not modern
111,36322.0,Full Moon,Asian Art,Tao Lengyue,Chinese,,20th century,modern
112,39901.0,Night-Shining White,Asian Art,Han Gan,Chinese,,ca. 750,not modern
113,436660.0,Portrait of a Man in a Red Cap,European Paintings,Hans Holbein the Younger,German,,1532–35,not modern
114,760942.0,The Yellow Room,The American Wing,James McNeill Whistler,American,,ca. 1883–84,modern
115,435896.0,Portrait of a Carthusian,European Paintings,Petrus Christus,Netherlandish,,1446,not modern
116,45640.0,Hotei Admiring the Moon,Asian Art,Ikei Shūtoku 惟馨周徳,Japanese,,probably 19th century,modern
117,36022.0,Enjoying the Moon: Landscape in the Manner of Wang Meng,Asian Art,Gu Yide,Chinese,,dated 1628,not modern
118,441768.0,"A Section of the Via Sacra, Rome (The Church of Saints Cosmas and Damian)",European Paintings,Christoffer Wilhelm Eckersberg,Danish,,ca. 1814–15,not modern
119,53427.0,Six Jewel Rivers,Asian Art,Sakai Ōho,Japanese,,ca. 1839,not modern
120,438816.0,The Forest in Winter at Sunset,European Paintings,Théodore Rousseau,French,,ca. 1846–67,not modern
121,,,,,,,,not modern
122,459053.0,Virgin and Child,Robert Lehman Collection,Hans Memling,Netherlandish,,Early sixteenth century,not modern
123,74741.0,Diagram for a Pichawai Depicting the Sharad Purnima (the Autumn Full Moon),Asian Art,,,,mid-19th century,modern
124,483129.0,Composition with the Yellow Half-Moon and the Y,Modern and Contemporary Art,Paul Klee,"German, born Switzerland",,1918,modern
125,36055.0,Landscape with great pine,Asian Art,Ma Lin,Chinese,,second quarter of the 13th century,not modern
126,36131.0,Landscapes with poems,Asian Art,Gong Xian,Chinese,,1688,not modern
127,441357.0,"The Great Pyramid, Giza",European Paintings,Adrien Dauzats,French,,1830 or later,not modern
128,679686.0,Hortensia,European Paintings,Fernand Khnopff,Belgian,,1884,modern
129,436801.0,The Marriage Feast at Cana,European Paintings,Juan de Flandes,Netherlandish,,ca. 1497,not modern
130,206407.0,Snuffbox,European Sculpture and Decorative Arts,Noël Hardivillers,,,1754–55,not modern
131,38344.0,"Mandala of Chandra, God of the Moon",Asian Art,,,,late 14th–early 15th century,not modern
132,,,,,,,,not modern
133,815478.0,"Murasaki Shikibu at Ishiyamadera Temple, based on the print “The Moon at Ishiyama,” from the series One Hundred Aspects of the Moon (Tsuki hyakushi: Ishiyama no tsuki)",Asian Art,Tsukioka Yoshitoshi,Japanese,,ca. 1892,modern
134,489953.0,Flag,Modern and Contemporary Art,Jasper Johns,American,,1957,modern
135,736275.0,The Monastery of San Benedetto above the Aniene River at Subiaco,European Paintings,Antoine-Félix Boisselier,French,,1811,not modern
136,436567.0,Scenes from the Life of Saint John the Baptist,European Paintings,Francesco Granacci (Francesco di Andrea di Marco),Italian,,ca. 1506–7,not modern
137,48923.0,Moon and Autumn Grasses,Asian Art,Tawaraya Sōtatsu,Japanese,,mid- to late 17th century,not modern
138,437190.0,The Farrier,European Paintings,Aert van der Neer,Dutch,,early or mid-1650s,not modern
139,829408.0,Fragrant Garden under a Hazy Moon,Asian Art,Nakabayashi Chikutō,Japanese,,1843,not modern
140,437875.0,Portrait of a Man,European Paintings,Velázquez,Spanish,,ca. 1650,not modern
141,49633.0,Willow in the Morning Breeze,Asian Art,Gao Jianfu,Chinese,,dated 1949,modern
142,35988.0,Figure standing in a grove of trees,Asian Art,Li Liufang,Chinese,,1613,not modern
143,436892.0,Madonna and Child,European Paintings,Filippino Lippi,Italian,,ca. 1483–84,not modern
144,57190.0,Lacquer Paintings of Various Subjects: Snow Shelter for a Tree with Sparrow,Asian Art,Shibata Zeshin,Japanese,,1882,modern
145,57188.0,Lacquer Paintings of Various Subjects: Grasshopper on Gourd Vine,Asian Art,Shibata Zeshin,Japanese,,1882,modern
146,57186.0,Lacquer Paintings of Various Subjects: Plum Branch with Oil Lamp,Asian Art,Shibata Zeshin,Japanese,,1882,modern
147,57191.0,Lacquer Paintings of Various Subjects: Sencha Tea Set,Asian Art,Shibata Zeshin,Japanese,,1882,modern
148,57185.0,Lacquer Paintings of Various Subjects: Bonsai,Asian Art,Shibata Zeshin,Japanese,,1882,modern
149,57187.0,Lacquer Paintings of Various Subjects: Stack of Rice and Dragonflies,Asian Art,Shibata Zeshin,Japanese,,1882,modern
150,57189.0,Lacquer Paintings of Various Subjects: Bird and Willow in Snow,Asian Art,Shibata Zeshin,Japanese,,1882,modern
151,57193.0,Lacquer Paintings of Various Subjects: Peonies,Asian Art,Shibata Zeshin,Japanese,,1882,modern
152,57194.0,Lacquer Paintings of Various Subjects: Butterflies,Asian Art,Shibata Zeshin,Japanese,,dated 1881,modern
153,57192.0,Lacquer Paintings of Various Subjects: Drum for Gagaku Dance,Asian Art,Shibata Zeshin,Japanese,,1882,modern
154,782304.0,Young Woman with Her Hand over Her Mouth,European Paintings,Edgar Degas,French,,ca. 1875,modern
155,437056.0,"Tommaso di Folco Portinari (1428–1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)",European Paintings,Hans Memling,Netherlandish,,ca. 1470,not modern
156,51685.0,Waves in the moonlight,Asian Art,Unidentified artist,,,13th century,not modern
157,459070.0,The Lamentation of Christ,Robert Lehman Collection,Simon Marmion,French,,ca. 1473,not modern
158,436575.0,View of Toledo,European Paintings,El Greco (Domenikos Theotokopoulos),Greek,,ca. 1599–1600,not modern
159,435997.0,The Storm,European Paintings,Pierre-Auguste Cot,French,,1880,modern
160,459046.0,Saints Bartholomew and Simon,Robert Lehman Collection,Master of Saint Francis,Italian,,1266–75,not modern
161,36451.0,"Illustrated manuscript of the Lotus Sutra (Miaofa lianhua jing), Volume 2",Asian Art,Unidentified artist,,,ca. 1340,not modern
162,435762.0,Virgin and Child,European Paintings,Dieric Bouts,Netherlandish,,ca. 1455–60,not modern
163,436984.0,The Adoration of the Magi,European Paintings,Quinten Massys,Netherlandish,,1526,not modern
164,845157.0,Lady Chiyono,Asian Art,Maruyama Ōkyo 円山応挙,Japanese,,1773,not modern
165,,,,,,,,not modern
166,829409.0,Boat under the Moon,Asian Art,Nagasawa Roshū 長澤蘆洲,Japanese,,early 19th century,modern
167,437466.0,"Christ Blessing, Surrounded by a Donor Family",European Paintings,German Painter,German,,ca. 1573–82,not modern
168,437845.0,The Triumph of Mordecai,European Paintings,Jean François de Troy,French,,ca. 1736,not modern
169,835145.0,Portrait of a Prince (Possibly Mohammad Mirza),Islamic Art,,,,ca. 1820,not modern
170,647338.0,Saint Francis in Ecstasy,European Paintings,Giovanni Benedetto Castiglione (Il Grechetto),Italian,,ca. 1650,not modern
171,45754.0,The Moon Goddess Chang E,Asian Art,Unidentified artist,,,,not modern
172,485194.0,Once,Modern and Contemporary Art,Elizabeth Murray,American,Female,1978,modern
173,494057.0,Moonlightist,Modern and Contemporary Art,R.B. Kitaj,American,,1998,modern
174,45760.0,Drunken fisherman by a reed bank,Asian Art,Tang Yin,Chinese,,early 16th century,not modern
175,718433.0,Apsara with Harp,Asian Art,Y. G. Srimati,Indian,Female,ca. 1944,modern
176,40092.0,Boating by a Willow Bank,Asian Art,Unidentified artist,,,13th century,not modern
177,11376.0,Wild Roses and Irises,The American Wing,John La Farge,American,,1887,modern
178,435651.0,The Lamentation,European Paintings,Ambrosius Benson,Netherlandish,,ca. 1520–25,not modern
179,195779.0,Saint Jerome (one of a pair),European Sculpture and Decorative Arts,,,,mid-16th century,not modern
180,77198.0,Owl on a Pine Branch,Asian Art,Soga Nichokuan,Japanese,,early 17th century,not modern
181,483126.0,Colorful Architecture,Modern and Contemporary Art,Paul Klee,"German, born Switzerland",,1917,modern
182,491587.0,Versions IV,Modern and Contemporary Art,Robert Ryman,American,,1992,modern
183,853239.0,Triad of the Medicine Master Buddha Yakushi (Bhaisajya Buddha),Asian Art,Unidentified artist,,,17th or 18th century,not modern
184,,,,,,,,not modern
185,488522.0,"Study for ""Goat""",Modern and Contemporary Art,Arthur Dove,American,,ca. 1934,modern
186,11127.0,"Moonlight, Wood Island Light",The American Wing,Winslow Homer,American,,1894,modern
187,853195.0,Gibbon and Bamboo,Asian Art,Sesson Shūkei 雪村周継,Japanese,,16th century,not modern
188,480911.0,No. 16,Modern and Contemporary Art,Mark Rothko,"American, born Russia",,1960,modern
189,72775.0,"Plum, Bamboo, and Rock",Asian Art,Xu Beihong,Chinese,,dated 1942,modern
190,,,,,,,,not modern
191,49011.0,Small Bird on a Crepe Myrtle Branch,Asian Art,Tsubaki Chinzan,Japanese,,19th century,modern
192,49731.0,Cloudy Mountains,Asian Art,Liu Haisu,Chinese,,20th century,modern
193,40423.0,Returning from a Banquet,Asian Art,Unidentified artist,,,,not modern
194,823227.0,Tjitjiti,Modern and Contemporary Art,Carlene West,Australian (Aboriginal),Female,2015,modern
195,474336.0,Portable Icon with the Virgin Eleousa,Medieval Art,,,,early 1300s,not modern
196,459060.0,Virgin and Child,Robert Lehman Collection,Gerard David,Netherlandish,,1490–1523,not modern
197,829419.0,Mount Penglai,Asian Art,Kondō Kōichiro,Japanese,,late 1920s,modern
198,16869.0,Lago Avernus,The American Wing,William Trost Richards,American,,ca. 1867–70,modern
199,49010.0,Small Birds on a Willow Branch and Hibiscus Blossoms,Asian Art,Tsubaki Chinzan,Japanese,,dated Fall 1850,not modern
200,816629.0,The Flight into Egypt,European Paintings,Carlo Maratti,Italian,,ca. 1664,not modern
201,436990.0,The Martyrdom of Saint Lawrence; (reverse) Giving Drink to the Thirsty,European Paintings,Master of the Acts of Mercy,Austrian,,,not modern
202,49241.0,Ink bamboo,Asian Art,Li Shan,Chinese,,dated 1749,not modern
203,437620.0,Nymph and Putti in a Vintage Scene; Nymph with a Wreath and Putti with Garlands of Flowers,European Paintings,Piat Joseph Sauvage,Flemish,,,not modern
204,53172.0,"Three Poems from the Collection of Poems Ancient and Modern (Kokin wakashū), one of the Araki Fragments (Araki-gire)",Asian Art,Fujiwara no Yukinari (Kōzei),Japanese,,11th century,not modern
205,75612.0,Landscape,Asian Art,Fukuda Kodōjin 福田古道人,Japanese,,1922,modern
206,842832.0,Chickadee and Thistle,The American Wing,Fidelia Bridges,American,Female,1875,modern
207,45080.0,Autumn Grasses in Moonlight,Asian Art,Shibata Zeshin,Japanese,,second half of the 19th century,modern
208,40285.0,Poems on painting plum blossoms and bamboo,Asian Art,Zhao Mengjian,Chinese,,dated 1260,not modern
209,45361.0,The Tale of the Bamboo Cutter,Asian Art,,,,late 17th century,not modern
210,44854.0,Tale of a Strange Marriage (Konkai Zoshi),Asian Art,Ukita Ikkei,Japanese,,ca. 1858,not modern
211,838009.0,Fragment of a Prajnaparamita Sutra manuscript folio,Asian Art,Unidentified,,,11th century,not modern
212,13379.0,Olive Trees at Tivoli,The American Wing,George Inness,American,,1873,modern
213,44897.0,Eight Views of the Xiao and Xiang Rivers,Asian Art,Kano Tsunenobu,Japanese,,late 17th–early 18th century,not modern
214,829405.0,Hototogisu,Asian Art,Kubo Shunman,Japanese,,early 19th century,modern
215,442488.0,The Agony in the Garden,European Paintings,Nicolas Poussin,French,,1626–27,not modern
216,12572.0,Midnight,The American Wing,Alexander Shilling,American,,ca. 1930,modern
217,40516.0,Reading a Sutra by Moonlight,Asian Art,Unidentified artist,,,ca. 1332,not modern
218,439409.0,"Banks of the Stream near the Corot Property, Ville d'Avray",European Paintings,Camille Corot,French,,ca. 1823,not modern
219,845805.0,Moonlit Landscape,Asian Art,Nagasawa Rosetsu 長澤蘆雪,Japanese,,1794–95,not modern
220,671053.0,"Princess Ogimi from the ""Bridge Maiden"" (Hashihime)  chapter from The Tale of Genji (Genji Monogatari)",Asian Art,Hishikawa Waō,Japanese,,early 18th century,not modern
221,45616.0,The Secrets of the Nine Luminaries (Kuyō hiryaku),Asian Art,Sōkan,Japanese,,1125,not modern
222,74363.0,"""Maple Bridge Night Mooring""",Asian Art,Ike Taiga,Japanese,,ca. 1770,not modern
223,44638.0,Viewing plum blossoms by moonlight,Asian Art,Ma Yuan,Chinese,,early 13th century,not modern
224,49254.0,Drinking in the Bamboo Garden on the Lantern Festival,Asian Art,Luo Ping,Chinese,,1773,not modern
225,45635.0,Enjoying the Wilderness in an Autumn Grove,Asian Art,Ni Zan,Chinese,,dated 1339,not modern
226,53448.0,"Snow, Moon, and Cherry Blossoms (Yoshiwara in Three Seasons)",Asian Art,Chōbunsai Eishi,Japanese,,early 19th century,modern
227,437835.0,"The Englishman (William Tom Warrener, 1861–1934) at the Moulin Rouge",European Paintings,Henri de Toulouse-Lautrec,French,,1892,modern
228,848948.0,Small Indian Sky,Modern and Contemporary Art,Howard Hodgkin,British,,1990,modern
229,840074.0,Lay-By,Modern and Contemporary Art,Nick Goss,British,,2019,modern
230,436603.0,Samson Captured by the Philistines,European Paintings,Guercino (Giovanni Francesco Barbieri),Italian,,1619,not modern
231,39895.0,The Classic of Filial Piety,Asian Art,Li Gonglin,Chinese,,ca. 1085,not modern
232,41504.0,Buddhist Sage,Asian Art,Wang Zhen,Chinese,,dated 1928,modern
233,75702.0,"West Lake, Hangzhou: View toward the Little Isle of the Immortals",Asian Art,Xie Zhiliu,Chinese,,20th century,modern
234,816262.0,Waka Poem: “Across the fields and hills…”,Asian Art,Ōtagaki Rengetsu,Japanese,Female,19th century,modern
235,453283.0,Laila and Majnun,Islamic Art,,,,mid-18th century,not modern
236,815476.0,"The Spirit of the Deceased Yūgao Entwined in Moonflower Vines, based on the print “The Lady of the Evening Faces,” from the series One Hundred Aspects of the Moon (Tsuki hyakushi: Genji Yūgao no maki)",Asian Art,Tsukioka Yoshitoshi,Japanese,,ca. 1892,modern
237,12169.0,Rushing Brook,The American Wing,John Singer Sargent,American,,ca. 1904–11,modern
238,49183.0,Landscape Painted on the Double Ninth Festival,Asian Art,Shitao (Zhu Ruoji),Chinese,,dated 1705,not modern
239,816212.0,"Chinese poem by Hanshan, “My heart is like the autumn moon”",Asian Art,Baisaō,Japanese,,1760,not modern
240,14426.0,Hackensack Meadows,The American Wing,Jasper Francis Cropsey,American,,1890,modern
241,437508.0,Self-Portrait,European Paintings,Salvator Rosa,Italian,,ca. 1647,not modern
242,51855.0,Commendation Scroll,Asian Art,Unidentified artist,,,dated 1835,not modern
243,436139.0,Dancers Practicing at the Barre,European Paintings,Edgar Degas,French,,1877,modern
244,40022.0,Eight Views of Ōmi (Ōmi hakkei),Asian Art,Soga Shōhaku,Japanese,,ca. 1762–66,not modern
245,42105.0,Stately Pines on Mount Hua,Asian Art,Shi Lu,Chinese,,early 1970s,modern
246,49475.0,Plum,Asian Art,Jin Lan,Chinese,,dated 1886,modern
247,845132.0,Moon amid Clouds,Asian Art,Seisetsu Shūcho 誠拙周樗,Japanese,,early 19th century,modern
248,437013.0,Virgin Suckling the Child,European Paintings,Netherlandish (Antwerp) Painter,Netherlandish,,,not modern
249,73161.0,Drenched in Moonlight,Asian Art,Tong Yu,Chinese,,18th century,not modern
250,53684.0,Rama and Lakshmana on Mount Pavarasana: Folio from the Shangri Ramayana series (Style II),Asian Art,,,,ca. 1690–1710,not modern
251,73192.0,Hotei,Asian Art,Kano Takanobu,Japanese,,1616,not modern
252,49637.0,Grazing Horse,Asian Art,Xu Beihong,Chinese,,dated 1932,modern
253,436997.0,The Crucifixion,European Paintings,Master of the Berswordt Altar,German,,ca. 1400,not modern
254,632959.0,Untitled No. 8,Modern and Contemporary Art,Oliver Lee Jackson,American,,1985,modern
255,76633.0,Divine Light 2000–8,Asian Art,Zhang Yu,Chinese,,2000,modern
256,16168.0,In the Garden,The American Wing,Virginia Hendrickson Irvin,American,Female,ca. 1937,modern
257,488484.0,Clouds and Water,Modern and Contemporary Art,Arthur Dove,American,,1930,modern
258,752036.0,Activities of the Twelve Months,Asian Art,Sakai Hōitsu,Japanese,,late 1790s,not modern
259,437453.0,Portrait of a Woman,European Paintings,Sir Joshua Reynolds,British,,,not modern
260,37993.0,Lady Holding a Sparkler,Asian Art,,,,ca. 1800,not modern
261,37899.0,Khambavati Ragini:  Page from a Dispersed Ragamala Series (Garland of Musical Modes),Asian Art,,,,1700–1725,not modern
262,74994.0,Mahavira Sitting at the Top of the Universe: Folio from a Kalpasutra Manuscript,Asian Art,,,,15th century,not modern
